common_name,genus,species
Bare-throated Tiger Heron,Tigrisoma,mexicanum
Australasian Swamphen,Porphyrio,melanotus
Black Scoter,Melanitta,americana
Clay-colored Sparrow,Spizella,pallida
Cinnamon Hummingbird,Amazilia,rutila
Zenaida Dove,Zenaida,aurita
Dunnock,Prunella,modularis
Common Kestrel,Falco,tinnunculus
Varied Thrush,Ixoreus,naevius
Ruby-throated Hummingbird,Archilochus,colubris
Blue-throated Mountaingem,Lampornis,clemenciae
Dusky-capped Flycatcher,Myiarchus,tuberculifer
American Redstart,Setophaga,ruticilla
Brown-crested Flycatcher,Myiarchus,tyrannulus
Silvereye,Zosterops,lateralis
White-crowned Sparrow,Zonotrichia,leucophrys
Red-winged Blackbird,Agelaius,phoeniceus
Great Tit,Parus,major
Rufous-collared Sparrow,Zonotrichia,capensis
Tennessee Warbler,Oreothlypis,peregrina
Orange-crowned Warbler,Oreothlypis,celata
Nashville Warbler,Oreothlypis,ruficapilla
Mourning Warbler,Geothlypis,philadelphia
Kentucky Warbler,Geothlypis,formosa
Cape May Warbler,Setophaga,tigrina
Northern Parula,Setophaga,americana
Magnolia Warbler,Setophaga,magnolia
Bay-breasted Warbler,Setophaga,castanea
Blackburnian Warbler,Setophaga,fusca
Mangrove Warbler,Setophaga,petechia
Blackpoll Warbler,Setophaga,striata
Palm Warbler,Setophaga,palmarum
Pine Warbler,Setophaga,pinus
Yellow-rumped Warbler,Setophaga,coronata
Yellow-throated Warbler,Setophaga,dominica
Violet Sabrewing,Campylopterus,hemileucurus
Cassin's Vireo,Vireo,cassinii
Black-throated Gray Warbler,Setophaga,nigrescens
Townsend's Warbler,Setophaga,townsendi
Hermit Warbler,Setophaga,occidentalis
Golden-cheeked Warbler,Setophaga,chrysoparia
Black-throated Green Warbler,Setophaga,virens
Canada Warbler,Cardellina,canadensis
Red Warbler,Cardellina,rubra
Florida Scrub Jay,Aphelocoma,coerulescens
Red-headed Woodpecker,Melanerpes,erythrocephalus
Corn Bunting,Emberiza,calandra
Redpoll,Acanthis,flammea
Pine Siskin,Spinus,pinus
Yellow-winged Tanager,Thraupis,abbas
Lesser Goldfinch,Spinus,psaltria
Lawrence's Goldfinch,Spinus,lawrencei
American Goldfinch,Spinus,tristis
African Sacred Ibis,Threskiornis,aethiopicus
Atlantic White Tern,Gygis,alba
Tree Swallow,Tachycineta,bicolor
Kelp Gull,Larus,dominicanus
Java Sparrow,Lonchura,oryzivora
American Oystercatcher,Haematopus,palliatus
European Greenfinch,Chloris,chloris
Cooper's Hawk,Accipiter,cooperii
Blue-headed Vireo,Vireo,solitarius
Broad-tailed Hummingbird,Selasphorus,platycercus
Red-billed Gull,Chroicocephalus,scopulinus
Western Grebe,Aechmophorus,occidentalis
Kererū,Hemiphaga,novaeseelandiae
Sabine's Gull,Xema,sabini
Keel-billed Toucan,Ramphastos,sulfuratus
Laughing Kookaburra,Dacelo,novaeguineae
Eurasian Coot,Fulica,atra
Barn Swallow,Hirundo,rustica
Costa's Hummingbird,Calypte,costae
Anna's Hummingbird,Calypte,anna
Northern Flicker,Colaptes,auratus
Blue-footed Booby,Sula,nebouxii
Oriental Magpie-robin,Copsychus,saularis
Allen's Hummingbird,Selasphorus,sasin
Rufous Hummingbird,Selasphorus,rufus
Lucifer Sheartail,Calothorax,lucifer
Common Bulbul,Pycnonotus,barbatus
Glaucous-winged Gull,Larus,glaucescens
Woodhouse's Scrub Jay,Aphelocoma,woodhouseii
White-necked Jacobin,Florisuga,mellivora
South Island Oystercatcher,Haematopus,finschi
Spruce Grouse,Falcipennis,canadensis
Black-chinned Hummingbird,Archilochus,alexandri
Hen Harrier,Circus,cyaneus
Eastern Great Egret,Ardea,alba
Great Crested Flycatcher,Myiarchus,crinitus
Ferruginous Hawk,Buteo,regalis
White-throated Swift,Aeronautes,saxatalis
Vaux's Swift,Chaetura,vauxi
Chimney Swift,Chaetura,pelagica
Chestnut-sided Warbler,Setophaga,pensylvanica
Loggerhead Shrike,Lanius,ludovicianus
Anhinga,Anhinga,anhinga
Common Myna,Acridotheres,tristis
Pygmy Nuthatch,Sitta,pygmaea
African Jacana,Actophilornis,africanus
Red-breasted Nuthatch,Sitta,canadensis
Eurasian Nuthatch,Sitta,europaea
Brown-headed Nuthatch,Sitta,pusilla
Common Swift,Apus,apus
European Starling,Sturnus,vulgaris
Ovenbird,Seiurus,aurocapilla
Western Yellow Wagtail,Motacilla,flava
White-eyed Vireo,Vireo,griseus
Long-billed Thrasher,Toxostoma,longirostre
Sanderling,Calidris,alba
California Thrasher,Toxostoma,redivivum
Common Gallinule,Gallinula,galeata
Stilt Sandpiper,Calidris,himantopus
Rivoli's Hummingbird,Eugenes,fulgens
Black-vented Oriole,Icterus,wagleri
Scott's Oriole,Icterus,parisorum
Broad-winged Hawk,Buteo,platypterus
Common Snipe,Gallinago,gallinago
Orchard Oriole,Icterus,spurius
Least Sandpiper,Calidris,minutilla
Gray Catbird,Dumetella,carolinensis
Takahē,Porphyrio,hochstetteri
White-rumped Sandpiper,Calidris,fuscicollis
Wilson's Phalarope,Phalaropus,tricolor
Northern Flicker,Colaptes,auratus
Blue Mockingbird,Melanotis,caerulescens
Yellow-faced Grassquit,Tiaris,olivaceus
Sage Thrasher,Oreoscoptes,montanus
Long-billed Dowitcher,Limnodromus,scolopaceus
Solitary Sandpiper,Tringa,solitaria
White-breasted Nuthatch,Sitta,carolinensis
Common Redshank,Tringa,totanus
Black-bellied Whistling Duck,Dendrocygna,autumnalis
White-faced Whistling Duck,Dendrocygna,viduata
Fulvous Whistling Duck,Dendrocygna,bicolor
Black-backed Oriole,Icterus,abeillei
Southern Lapwing,Vanellus,chilensis
Trumpeter Swan,Cygnus,buccinator
Whooper Swan,Cygnus,cygnus
Tundra Swan,Cygnus,columbianus
Mute Swan,Cygnus,olor
Baltimore Oriole,Icterus,galbula
Mallard,Anas,platyrhynchos
Northern Pintail,Anas,acuta
Eurasian Teal,Anas,crecca
Cinnamon Teal,Anas,cyanoptera
Mottled Duck,Anas,fulvigula
Blue-winged Teal,Anas,discors
Gadwall,Anas,strepera
Northern Shoveler,Anas,clypeata
Brown Teal,Anas,chlorotis
Willie Wagtail,Rhipidura,leucophrys
American Wigeon,Anas,americana
Bufflehead,Bucephala,albeola
Red-breasted Merganser,Mergus,serrator
Common Merganser,Mergus,merganser
Greylag Goose,Anser,anser
Greater White-fronted Goose,Anser,albifrons
Common Eider,Somateria,mollissima
Ridgway's Rail,Rallus,obsoletus
Crimson Rosella,Platycercus,elegans
Velvet Scoter,Melanitta,fusca
Black Kite,Milvus,migrans
Gull-billed Tern,Gelochelidon,nilotica
Morepork,Ninox,novaeseelandiae
Surf Scoter,Melanitta,perspicillata
Ring-necked Duck,Aythya,collaris
Common Pochard,Aythya,ferina
Tufted Duck,Aythya,fuligula
Long-billed Curlew,Numenius,americanus
Snow Goose,Chen,caerulescens
Wrentit,Chamaea,fasciata
Canada Goose,Branta,canadensis
Elegant Tern,Thalasseus,elegans
Nene,Branta,sandvicensis
Redhead,Aythya,americana
Wood Duck,Aix,sponsa
Hooded Merganser,Lophodytes,cucullatus
Harlequin Duck,Histrionicus,histrionicus
Nanday Parakeet,Aratinga,nenday
Green Parakeet,Psittacara,holochlorus
Muscovy Duck,Cairina,moschata
Red-crested Pochard,Netta,rufina
Red-masked Parakeet,Psittacara,erythrogenys
Say's Phoebe,Sayornis,saya
Canvasback,Aythya,valisineria
White-headed Woodpecker,Picoides,albolarvatus
Blue-winged Warbler,Vermivora,cyanoptera
American Crow,Corvus,caurinus
Long-eared Owl,Asio,otus
American Crow,Corvus,brachyrhynchos
Long-tailed Duck,Clangula,hyemalis
Australian Wood Duck,Chenonetta,jubata
Sandwich Tern,Thalasseus,sandvicensis
Galah,Eolophus,roseicapilla
Golden-olive Woodpecker,Colaptes,rubiginosus
Wild Turkey,Meleagris,gallopavo
Grey Silky-flycatcher,Ptiliogonys,cinereus
Swallow-tailed Kite,Elanoides,forficatus
European Goldfinch,Carduelis,carduelis
Mexican Cacique,Cassiculus,melanicterus
Sooty Grouse,Dendragapus,fuliginosus
American Bushtit,Psaltriparus,minimus
Long-tailed Tit,Aegithalos,caudatus
Silvereye,Zosterops,lateralis
White-bellied Sea Eagle,Haliaeetus,leucogaster
Common Murre,Uria,aalge
Willet,Tringa,semipalmata
Eurasian Skylark,Alauda,arvensis
Crested Lark,Galerida,cristata
Western House Martin,Delichon,urbicum
Worm-eating Warbler,Helmitheros,vermivorum
White-eared Hummingbird,Hylocharis,leucotis
Northern Mockingbird,Mimus,polyglottos
Australian Magpie,Gymnorhina,tibicen
Common Kingfisher,Alcedo,atthis
Spotted Dove,Streptopelia,chinensis
Cedar Waxwing,Bombycilla,cedrorum
Bohemian Waxwing,Bombycilla,garrulus
Common Shelduck,Tadorna,tadorna
South Island Robin,Petroica,australis
Red-lored Amazon,Amazona,autumnalis
Dusky Grouse,Dendragapus,obscurus
Canyon Wren,Catherpes,mexicanus
Ruddy Shelduck,Tadorna,ferruginea
Cactus Wren,Campylorhynchus,brunneicapillus
Veracruz Wren,Campylorhynchus,rufinucha
New Zealand Fantail,Rhipidura,fuliginosa
Black-tailed Gnatcatcher,Polioptila,melanura
Brown Pelican,Pelecanus,occidentalis
Abert's Towhee,Melozone,aberti
California Towhee,Melozone,crissalis
Carolina Wren,Thryothorus,ludovicianus
Harris's Hawk,Parabuteo,unicinctus
Domestic Duck,Anas,platyrhynchos
Northern House Wren,Troglodytes,aedon
Red-shouldered Hawk,Buteo,lineatus
Barred Antshrike,Thamnophilus,doliatus
Bewick's Wren,Thryomanes,bewickii
Paradise Shelduck,Tadorna,variegata
Slate-throated Whitestart,Myioborus,miniatus
Australian Pied Cormorant,Phalacrocorax,varius
Painted Redstart,Myioborus,pictus
American Herring Gull,Larus,argentatus
Louisiana Waterthrush,Parkesia,motacilla
Nazca Booby,Sula,granti
Scarlet Macaw,Ara,macao
Stripe-headed Sparrow,Peucaea,ruficauda
Buff-breasted Sandpiper,Calidris,subruficollis
Greater Flamingo,Phoenicopterus,roseus
Northern Gannet,Morus,bassanus
Brown Pelican,Pelecanus,occidentalis
Ferruginous Pygmy Owl,Glaucidium,brasilianum
Ruddy Duck,Oxyura,jamaicensis
Ash-throated Flycatcher,Myiarchus,cinerascens
Green Kingfisher,Chloroceryle,americana
Western Meadowlark,Sturnella,neglecta
Yellow-throated Toucan,Ramphastos,ambiguus
Red-crested Cardinal,Paroaria,coronata
Common Buzzard,Buteo,buteo
Sulphur-bellied Flycatcher,Myiodynastes,luteiventris
Western Wood Pewee,Contopus,sordidulus
Carrion Crow,Corvus,corone
Red-crowned Parakeet,Cyanoramphus,novaezelandiae
Eastern Wood Pewee,Contopus,virens
Greater Pewee,Contopus,pertinax
Olive-sided Flycatcher,Contopus,cooperi
European Herring Gull,Larus,argentatus
White-throated Kingfisher,Halcyon,smyrnensis
Red-winged Starling,Onychognathus,morio
Blue Bunting,Cyanocompsa,parellina
Marsh Wren,Cistothorus,palustris
Western Barn Owl,Tyto,alba
Gartered Trogon,Trogon,caligatus
Western Jackdaw,Corvus,monedula
Fish Crow,Corvus,ossifragus
African Penguin,Spheniscus,demersus
Rook,Corvus,frugilegus
House Crow,Corvus,splendens
Brant,Branta,bernicla
Glaucous Gull,Larus,hyperboreus
Domestic Pigeon,Columba,livia
Eurasian Jay,Garrulus,glandarius
Domestic Goose,Anser,anser
Northern Tufted Flycatcher,Mitrephanes,phaeocercus
Pink-footed Shearwater,Ardenna,creatopus
Great Shearwater,Ardenna,gravis
Background,,
